 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C> 
3.64 -0.07180806889390776 0.047878827905510436 0.12991806987368074 0.11977373193393004
3.65 -0.07177284219288665 0.04764168202814091 0.12969998056135504 0.11961615699415332
3.66 -0.07173337960305197 0.047408236959007796 0.129485491419295 0.11946226938665794
3.67 -0.07168976232865874 0.047178427439278074 0.12927453519415089 0.11931200116676602
3.68 -0.07164207157396188 0.04695218821011873 0.1290670446325729 0.11916528438979955
3.69 -0.07159038854321638 0.04672945401269674 0.12886295248121135 0.11902205111108063
3.7 -0.07153479444067722 0.046510159588179084 0.12866219148671645 0.11888223338593129
3.71 -0.07147537047059932 0.046294239677732746 0.12846469439573843 0.11874576326967357
3.72 -0.07141219783723769 0.04608162902252468 0.12827039395492754 0.11861257281762952
3.73 -0.07134535774484728 0.045872262363721904 0.12807922291093404 0.11848259408512123
3.74 -0.07127493139768305 0.04566607444249136 0.12789111401040815 0.11835575912747069
3.75 -0.07120099999999999 0.04546300000000003 0.1277060000000001 0.118232
3.76 -0.07112364007790359 0.04526297748061869 0.12752381748088948 0.11811125241061113
3.77 -0.07104290944490162 0.045065960141533 0.12734451847237283 0.11799346667752574
3.78 -0.07095886123635235 0.04487190494313252 0.12716805884827606 0.11787859677154544
3.79 -0.0708715485876141 0.0446807688458067 0.12699439448242514 0.11776659666347178
3.8 -0.07078102463404518 0.04449250880994505 0.12682348124864587 0.11765742032410643
3.81 -0.07068734251100384 0.04430708179593703 0.12665527502076424 0.11755102172425096
3.82 -0.07059055535384841 0.04412444476417217 0.12648973167260608 0.11744735483470695
3.83 -0.0704907162979372 0.04394455467503994 0.1263268070779973 0.11734637362627603
3.84 -0.07038787847862849 0.04376736848892983 0.12616645711076382 0.1172480320697598
3.85 -0.07028209503128056 0.04359284316623132 0.12600863764473152 0.11715228413595982
3.86 -0.07017341909125174 0.04342093566733392 0.12585330455372631 0.1170590837956777
3.87 -0.07006190379390029 0.043251602952627095 0.12570041371157406 0.11696838501971506
3.88 -0.06994760227458456 0.04308480198250037 0.12554992099210072 0.1168801417788735
3.89 -0.06983056766866284 0.0429204897173432 0.12540178226913218 0.1167943080439546
3.9 -0.06971085311149337 0.0427586231175451 0.1252559534164943 0.11671083778575998
3.91 -0.06958851173843449 0.04259915914349553 0.12511239030801294 0.1166296849750912
3.92 -0.06946359668484449 0.04244205475558402 0.1249710488175141 0.11655080358274991
3.93 -0.06933616108608166 0.04228726691420002 0.1248318848188236 0.11647414757953767
3.94 -0.06920625807750433 0.04213475257973305 0.1246948541857674 0.1163996709362561
3.95 -0.06907394079447077 0.041984468712572574 0.12455991279217135 0.11632732762370679
3.96 -0.06893926237233926 0.04183637227310812 0.12442701651186137 0.11625707161269136
3.97 -0.06880227594646812 0.04169042022172913 0.12429612121866335 0.11618885687401136
3.98 -0.06866303465221568 0.04154656951882513 0.1241671827864032 0.11612263737846841
3.99 -0.06852159162494016 0.04140477712478559 0.12404015708890676 0.11605836709686414
4.0 -0.06837799999999994 0.04126500000000001 0.123915 0.1159960000000001
4.01 -0.06823230981924552 0.04112719787967214 0.12379166987021219 0.11593549302045628
4.02 -0.06808455875049652 0.04099134159826278 0.1236701349568861 0.11587681493792583
4.03 -0.06793478136806474 0.04085740476504698 0.12355036599406789 0.11581993749388035
4.04 -0.06778301224626206 0.040725360989299825 0.12343233371580371 0.1157648324297914
4.05 -0.06762928595940032 0.04059518388029636 0.12331600885613975 0.11571147148713049
4.06 -0.06747363708179134 0.04046684704731166 0.12320136214912215 0.11565982640736923
4.07 -0.06731610018774697 0.040340324099620774 0.1230883643287971 0.11560986893197912
4.08 -0.0671567098515791 0.04021558864649879 0.1229769861292108 0.11556157080243178
4.09 -0.06699550064759953 0.04009261429722074 0.12286719828440935 0.1155149037601987
4.1 -0.06683250715012008 0.03997137466106171 0.12275897152843894 0.11546983954675145
4.11 -0.06666776393345264 0.03985184334729674 0.12265227659534571 0.1154263499035616
4.12 -0.06650130557190902 0.03973399396520091 0.1225470842191759 0.1153844065721007
4.13 -0.06633316663980111 0.03961780012404928 0.1224433651339756 0.1153439812938403
4.14 -0.0661633817114407 0.03950323543311691 0.12234109007379101 0.11530504581025196
4.15 -0.06599198536113966 0.03939027350167887 0.12224022977266828 0.11526757186280721
