 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C>   <D|H|D>   <E|H|E>   <F|H|F>   <G|H|G>   <H|H|H>   <I|H|I>   <J|H|J> 
1.0 1.9073208574833502 1.94607435694521 2.0676775405958225 2.069097617973147 2.0235686529530055 2.0707386947087305 2.077259616853591 2.0867877896520852 2.0785335949250583 2.0908988225388505 2.0877370063332306
1.01 1.869741929978556 1.9073533915946965 2.0299826428836925 2.0311642878009994 1.9849485211712952 2.032686142419141 2.0392581877038083 2.048482159992911 2.040449235998937 2.052647876056418 2.0494174732412684
1.02 1.8326070245001733 1.8690316487542784 1.9925386798300189 1.9935443971804552 1.9467299955211201 1.9950026515297195 2.0016538234554426 2.0106074186922434 2.0027558383106077 2.0148424296459693 2.0115371534894995
1.03 1.795926657372614 1.8311266868579341 1.9553702501163595 1.9562595688050342 1.908927917188806 1.9577050884167608 1.9644596357123105 1.973178407364002 1.965468087404048 1.9774958465886479 1.9741105016612917
1.04 1.7597113449202868 1.7936560643396378 1.9185019524131888 1.9193314253673663 1.871557127372748 1.9208103194565556 1.92768873607822 1.9362099676218993 1.92860066882343 1.9406214901655892 1.9371519723400015
1.05 1.7239716034676007 1.7566373396333652 1.8819583853795185 1.8827815895591855 1.834632467283608 1.8843352110253972 1.891354236156984 1.899716941079446 1.8921682681131298 1.904232723657925 1.9006760201089823
1.06 1.6887179493389646 1.720088071173091 1.8457641476626467 1.8466316840713204 1.7981687781446418 1.8482966294995766 1.855469247552413 1.863714169349947 1.856185570817729 1.8683429103467828 1.8646970995515844
1.07 1.6539608988587873 1.6840258173927913 1.8099438378979444 1.81090333159368 1.7621809011920826 1.8127114412553864 1.820046881868318 1.8282164940464996 1.8206672624820137 1.8329654135132825 1.8292296652511502
1.08 1.6197109683514794 1.6484681367264422 1.7745220547084246 1.775618154815249 1.7266836776753323 1.777596512669119 1.7851002507085116 1.7932387567819952 1.785628028650985 1.798113596438544 1.7942881717910182
1.0899999999999999 1.5859786741414494 1.6134325876080182 1.739523396704496 1.7407977764240719 1.6916919488573519 1.7429687101170668 1.750642465676805 1.7587957991691128 1.7510825548698525 1.7638008224036785 1.7598870737545218
1.1 1.552774532553106 1.578936728471494 1.7049724624836695 1.7064638191072459 1.65722055601501 1.7088448999755212 1.7166866383770079 1.7249024628203145 1.7170455266840394 1.7300404546897934 1.726040825724988
1.1099999999999999 1.5201090599108595 1.5449981177508472 1.6708938506301645 1.67263790555091 1.6232843404393715 1.6752419486207755 1.6832458804129342 1.6915735893478507 1.6835316296391851 1.6968458565779934 1.692763882285741
1.1199999999999999 1.487992772539119 1.5116343138800519 1.6373121597146054 1.63934165844023 1.5898981434360828 1.6421767224291213 1.650333303388394 1.6588240203637499 1.6505555492811472 1.664230391349375 1.6600706980200977
1.13 1.4564361867622928 1.4788628752930837 1.60425198829367 1.6065967004593926 1.5570768063257265 1.6096660877768505 1.6179620189071986 1.6266685974798185 1.618131971156001 1.6322074222850322 1.6279757275113704
1.14 1.4254498189047915 1.4467013604239185 1.5717379349097176 1.5744246542915907 1.5248351704441883 1.577726911040256 1.5861451385731598 1.5951221623076455 1.5862755808100495 1.6007903126660543 1.5964934253428664
1.15 1.3950441852910231 1.4151673277065313 1.5397945980904226 1.542847142619014 1.493188077143041 1.5463760585956294 1.5548957739900884 1.564199556458593 1.5550010637898222 1.569992425773525 1.565638246097888
1.16 1.3652298022453977 1.3842783355748973 1.5084465763483934 1.5118857881228347 1.462150367789939 1.5156303968192628 1.5242270367617956 1.533915621543793 1.5243231056420707 1.5398271248885231 1.5354246443597326
1.17 1.3360171860923242 1.3540519424629929 1.4777184681807802 1.4815622134831996 1.4317368837690263 1.48550679208745 1.494152038492095 1.5042851991741493 1.4942563919137808 1.5103077732921233 1.5058670747116918
1.18 1.3074168531562125 1.3245057068047932 1.4476348720688674 1.4518980413792149 1.4019624664813497 1.456022110776482 1.4646838907847959 1.4753231309603319 1.4648156081521693 1.4814477342653964 1.4769799917370525
1.19 1.2794393197614715 1.2956571870342743 1.4182203864776568 1.4229148944889354 1.3728419573452888 1.4271932192626517 1.4358357052437107 1.447044258512773 1.4360154399046856 1.4532603710894072 1.4487778500190975
1.2 1.25209510223251 1.2675239415854105 1.389499609855437 1.3946343954893503 1.3443901977970019 1.3990369839222498 1.40762059347265 1.4194634234416716 1.4078705727190206 1.4257590470452146 1.4212751041411011
1.2096774193548385 1.2262422573024607 1.2409908811526407 1.3623829011023636 1.3679497742425213 1.3175025313447386 1.3724405799876596 1.3809270236823075 1.3934463041801208 1.3812672072939034 1.3998064389111853 1.3953345886132011
1.2099930769230767 1.2254090069508612 1.240136830528938 1.3615095768199545 1.3670906278905215 1.3166361430176439 1.3715837822128782 1.3800664051187548 1.3926087616901768 1.3804098939185083 1.398970798933823 1.3944995632882955
1.2193548387096773 1.2009802764449098 1.2151305680086923 1.3359247110234314 1.3419283845207393 1.291241975397995 1.3464765437318602 1.35482804618857 1.3680827106047933 1.355279630500817 1.3744956854713073 1.3700487876512923
1.2199861538461534 1.1993525290658835 1.213466597871188 1.3342212284682167 1.3402535399645457 1.2895503208137247 1.3448044084421624 1.3531458625860193 1.3664504637589288 1.3536054245345543 1.3728665029148692 1.368421663667823
1.229032258064516 1.176297059142168 1.1899294336462716 1.3101108458472137 1.3165551607519927 1.2655954407353927 1.321131488104457 1.3293130848838255 1.3433585397996344 1.3298961721270872 1.34981363401789 1.3454038775042685
1.22997923076923 1.173912344935433 1.1874983035955209 1.3076189363175947 1.3141065433062395 1.2631183189008244 1.3186841223920864 1.326847320730267 1.3409730012043664 1.3274443147253414 1.3474316768004582 1.3430261842190756
1.238709677419355 1.1521805048765488 1.1653739095580855 1.2849271118037318 1.2918150373639947 1.2405498381343951 1.2963920260550554 1.3043715636604645 1.3192596888497405 1.3051051619588898 1.32574713184153 1.3213860344193138
1.2399723076923068 1.1490751309173637 1.1622170076852953 1.2816870718871023 1.288633049510097 1.2373257249931975 1.2932081838446339 1.3011591344073203 1.3161608455842357 1.301913714647741 1.3226518384007315 1.3182979038794858
1.2483870967741935 1.128618513130361 1.1414504272368382 1.2603593151244756 1.2676929487841735 1.2160920783712654 1.272244770533258 1.2799929064108733 1.2957720548413694 1.2808949297812362 1.3022830262308644 1.2979814346416563
1.2499653846153835 1.1248275633695324 1.1376077701238718 1.256410006697439 1.263816470170296 1.2121581268037365 1.2683618525817881 1.2760696584730031 1.2919984684576082 1.2770007744573033 1.2985125055235844 1.2942216015842434
1.2580645161290323 1.1055989833859174 1.118145418175236 1.236393262042449 1.244173829439675 1.1922090722210439 1.2486763344886702 1.2561665370274415 1.2728815348619547 1.2572538053779618 1.279408164472304 1.275176254414303
